"","phase","question","trialNum","swatch","response","responseCoded","rt","subid","age","timeOfTest","condition","gender","englishExposure","trialComments","sessionComments","ageCalc"
"105","bonus","do you think this one can feel pain?",17,"BI2A00008","skip",NA,20844,"p06",3.287671233,NA,"set1","female","always","a brother giraffe",NA,3y 0m 104d 6H 0M 0S
"106","bonus","do you think this one can sense things nearby?",18,"BI2A00031","skip",NA,15234,"p06",3.287671233,NA,"set1","female","always","a baby giraffe",NA,3y 0m 104d 6H 0M 0S
"107","study","do you think this one is an animal?",1,"BI2A00006","n",NA,17843,"p07",3.347945205,NA,"set2","female",NA,NA,"LIMITED ENGLISH",3y 0m 126d 6H 0M 0S
"108","study","do you think this one is an animal?",2,"BI2A00045","n",NA,7673,"p07",3.347945205,NA,"set2","female",NA,NA,"LIMITED ENGLISH",3y 0m 126d 6H 0M 0S
"109","study","do you think this one is an animal?",3,"BI2A00032","n",NA,9039,"p07",3.347945205,NA,"set2","female",NA,NA,"LIMITED ENGLISH",3y 0m 126d 6H 0M 0S
"110","study","do you think this one is an animal?",4,"BI2A00013","n",NA,7869,"p07",3.347945205,NA,"set2","female",NA,NA,"LIMITED ENGLISH",3y 0m 126d 6H 0M 0S
"111","study","do you think this one is an animal?",5,"BI2A00013","n",NA,NA,"p07",3.347945205,NA,"set2","female",NA,NA,"LIMITED ENGLISH",3y 0m 126d 6H 0M 0S
"112","study","do you think this one is an animal?",1,"BI2A00005","y",NA,39040,"p08",5.323287671,NA,"set3","female",NA,"",NA,5y 0m 116d 18H 0M 0S
"113","study","do you think this one is an animal?",2,"BI2A00010","n",NA,13442,"p08",5.323287671,NA,"set3","female",NA,"",NA,5y 0m 116d 18H 0M 0S
"114","study","do you think this one is an animal?",3,"BI2A00017","n",NA,20082,"p08",5.323287671,NA,"set3","female",NA,"brown wall",NA,5y 0m 116d 18H 0M 0S
"115","study","do you think this one is an animal?",4,"BI2A00035","n",NA,10121,"p08",5.323287671,NA,"set3","female",NA,"rug",NA,5y 0m 116d 18H 0M 0S
"116","study","do you think this one is an animal?",5,"BI2A00025","n",NA,16557,"p08",5.323287671,NA,"set3","female",NA,"carpet",NA,5y 0m 116d 18H 0M 0S
"117","study","do you think this one is an animal?",6,"BI2A00007","y",NA,11654,"p08",5.323287671,NA,"set3","female",NA,"chick",NA,5y 0m 116d 18H 0M 0S
"118","study","do you think this one is an animal?",7,"BI2A00019","skip",NA,27121,"p08",5.323287671,NA,"set3","female",NA,"IDK",NA,5y 0m 116d 18H 0M 0S
"119","study","do you think this one is an animal?",8,"BI2A00036","n",NA,12594,"p08",5.323287671,NA,"set3","female",NA,"carpet",NA,5y 0m 116d 18H 0M 0S
"120","study","do you think this one is an animal?",9,"BI2A00044","n",NA,26550,"p08",5.323287671,NA,"set3","female",NA,"on the ground when you walking",NA,5y 0m 116d 18H 0M 0S
"121","study","do you think this one is an animal?",10,"BI2A00026","n",NA,23910,"p08",5.323287671,NA,"set3","female",NA,"a pokey thing",NA,5y 0m 116d 18H 0M 0S
"122","study","do you think this one is an animal?",11,"BI2A00027","n",NA,13992,"p08",5.323287671,NA,"set3","female",NA,"a white and dirty wall",NA,5y 0m 116d 18H 0M 0S
"123","study","do you think this one is an animal?",12,"BI2A00018","n",NA,8123,"p08",5.323287671,NA,"set3","female",NA,"",NA,5y 0m 116d 18H 0M 0S
